"X","Title","Series.or.Movie","Genre.shelf.1","Genre.shelf.2","Genre.shelf.3","Genre.shelf.4","Genre.shelf.5","Genre.shelf.6","Genre.shelf.7","Genre.shelf.8","Genre.shelf.9","Genre.shelf.10","Genre.shelf.12","Genre.shelf.13","Tags.shelf.1","Tags.shelf.2","Tags.shelf.3","Tags.shelf.4","Tags.shelf.5","Tags.shelf.6","Tags.shelf.7","Tags.shelf.8","Tags.shelf.9","Tags.shelf.10","Tags.shelf.12","Tags.shelf.13","Tags.shelf.14","Tags.shelf.15","Tags.shelf.16","Tags.shelf.17","Tags.shelf.18","Tags.shelf.19","Tags.shelf.20","Tags.shelf.21","Tags.shelf.22","Tags.shelf.23","Tags.shelf.24","Tags.shelf.25","Tags.shelf.26","Tags.shelf.27","Tags.shelf.28","Tags.shelf.29","Tags.shelf.30","Tags.shelf.31","Tags.shelf.32","Tags.shelf.33","IMDb.Score"
8445,"Mr. Deeds","Movie","Comedy","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Comedies","Comedies","Romantic Films","Films Based on Books","Slapstick Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
8459,"Downfall","Movie","Biography","Drama","History","War",NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","International Movies","Dramas based on a book","Historical Dramas","Dramas based on real life","Movies Based on Real Life","Movies Based on Books","German Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2
8460,"Walking with Dinosaurs","Movie","Animation","Adventure","Family",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Family Adventures","Children & Family Films","Films for ages 8 to 10","Family Animation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2
8461,"Drive","Movie","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Independent Films","Award-winning Movies","Action Thrillers","Cannes Film Festival Winners","Action & Adventure","Dramas","Crime Films","Crime Dramas","Thrillers","Films Based on Books","Heist Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
8468,"Contempt","Movie","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Dramas","International Movies","French Films","Dramas based on a book","Romantic Films","Movies Based on Books","French Dramas","Romantic French Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6
8473,"Conviction","Movie","Biography","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crime Films","Dramas","Dramas based on real life","Crime Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
8477,"Spirit: Stallion of the Cimarron","Movie","Animation","Adventure","Drama","Family","Western",NA,NA,NA,NA,NA,NA,NA,"Family Adventures","Children & Family Films","Films for ages 8 to 10","Family Animation","Films for ages 5 to 7","Family Dramas","Animal Tales","Dramas","Westerns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
8480,"Clash of the Titans","Movie","Action","Adventure","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Fantasy","Action & Adventure","Adventures","Monster Films","Action Sci-Fi & Fantasy","Action Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
8488,"Million Dollar Baby","Movie","Drama","Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Award-winning Movies","Academy Award-Winning Films","Dramas based on a book","Golden Globe Award-winning Films","Tearjerkers","Sports Dramas","Movies Based on Books","Sports Movies","Boxing Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
8490,"Rumble in the Bronx","Movie","Action","Comedy","Crime","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,"Action Comedies","Asian Movies","Comedies","International Movies","Action Thrillers","Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8
8491,"Jimmy Neutron: Boy Genius","Movie","Animation","Action","Adventure","Comedy","Family","Sci-Fi",NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Family Sci-Fi & Fantasy","Family Adventures","Children & Family Films","Films for ages 8 to 10","Family Animation","Films for ages 5 to 7","Sci-Fi","Comedies","Sci-Fi Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
8496,"Breathless","Movie","Crime","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Dramas","Award-winning Movies","International Movies","French Films","Romantic Films","French Dramas","Romantic French Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8
8497,"Behind Enemy Lines","Movie","Action","Drama","Thriller","War",NA,NA,NA,NA,NA,NA,NA,NA,"Action Thrillers","Action & Adventure","Military Action & Adventure","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
8502,"Stand by Me","Movie","Adventure","Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dramas","Dramas based on a book","Action & Adventure","Adventures","Films Based on Books","Classic Dramas","Classic Films","Classic Action & Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1
8514,"The Bridge","Series","Crime","Mystery","Thriller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TV Thrillers","TV Dramas","TV Programmes","TV Mysteries","Swedish TV Shows","Scandinavian TV Shows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6
8517,"Batman Begins","Movie","Action","Adventure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Action & Adventure","Adventures","Sci-Fi","Film Noir","Crime Action & Adventure","Comic Book and Superhero Movies","Action Thrillers","Crime Films","Blockbuster Action & Adventure","US Movies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2
8524,"A.I. Artificial Intelligence","Movie","Drama","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sci-Fi & Fantasy","Sci-Fi","Dramas","Movies Based on Books","Cyberpunk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
8527,"A Clockwork Orange","Movie","Crime","Drama","Sci-Fi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Award-winning Movies","Sci-Fi & Fantasy","International Movies","British Films","Sci-Fi","Sci-Fi Dramas","Dramas","Crime Films","Crime Dramas","Films Based on Books","Classic Films","Futuristic Sci-Fi","Cult Sci-Fi & Fantasy","Cult Sci-Fi & Fantasy","Classic Sci-Fi & Fantasy","Classic Sci-Fi & Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3
8533,"Anger Management","Movie","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Comedies","Slapstick Comedies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3
8538,"Pride and Prejudice","Series","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romantic Dramas","Dramas","International Movies","TV Dramas","Dramas based on a book","Historical Dramas","British Films","TV Programmes","Romantic Films","Period Pieces","Romantic TV Dramas","British TV Shows","TV Shows Based on Books","Social Issue TV Dramas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8
